attribute,mean,max,min
ATSc3,-0.05633372310859498,2.779294,-2.440778
pubchem_f690,0.5990735975295934,1.0,0.0
pubchem_f421,0.6448790530108081,1.0,0.0
pubchem_f568,0.27020072053525473,1.0,0.0
maccs_k143,0.5805455481214616,1.0,0.0
maccs_k127,0.5805455481214616,1.0,0.0
pubchem_f640,0.2835820895522388,1.0,0.0
alkenyl,0.3175501801338137,1.0,0.0
pattern_c42,0.3175501801338137,1.0,0.0
pattern_c41,0.3175501801338137,1.0,0.0
pubchem_f453,0.36541430777148737,1.0,0.0
chiral_center_specified,0.9691199176531138,1.0,0.0
pattern_c32,0.9691199176531138,1.0,0.0
pattern_c15,0.9691199176531138,1.0,0.0
pattern_c33,0.9691199176531138,1.0,0.0
pattern_c37,0.514668039114771,1.0,0.0
sugar_pattern_2,0.11734431291816778,1.0,0.0
ALogP,-0.6571819351518275,12.5643,-28.3519
maccs_k063,0.02676273803396809,1.0,0.0
maccs_322_139,0.02676273803396809,1.0,0.0
maccs_322_137,0.02676273803396809,1.0,0.0
pubchem_f687,0.15388574369531652,1.0,0.0
maccs_k115,0.4837879567678847,1.0,0.0
maccs_k141,0.36644364384971695,1.0,0.0
maccs_k082,0.251672671127123,1.0,0.0
pubchem_f014,0.1276376737004632,1.0,0.0
ALogp2,16.99008440761708,803.830234,0.0
pubchem_f702,0.25681935151827073,1.0,0.0
pubchem_f424,0.03088008234688626,1.0,0.0
hexoside,0.0905815748841997,1.0,0.0
maccs_k089,0.36644364384971695,1.0,0.0
pattern_c115,0.12197632527020072,1.0,0.0
pubchem_f662,0.1451363870303654,1.0,0.0
sugar_pattern_combi,0.1065362840967576,1.0,0.0
maccs_k116,0.49562532166752443,1.0,0.0
pubchem_f685,0.48327328872876996,1.0,0.0
pubchem_f861,0.13175501801338138,1.0,0.0
pubchem_f663,0.23983530622748328,1.0,0.0
pattern_c49,0.30519814719505917,1.0,0.0
maccs_322_125,0.35203293875450337,1.0,0.0
maccs_k099,0.35203293875450337,1.0,0.0
cc_double_bond,0.35203293875450337,1.0,0.0
pubchem_f699,0.503345342254246,1.0,0.0
pubchem_f145,0.1291816778178075,1.0,0.0
pubchem_f348,0.11682964487905301,1.0,0.0
sugar_pattern_2_alpha,0.08131755018013381,1.0,0.0
pattern_c50,0.3000514668039115,1.0,0.0
maccs_k026,0.08080288214101904,1.0,0.0
pubchem_f564,0.14668039114770973,1.0,0.0
maccs_k145,0.5316520844055584,1.0,0.0
maccs_322_070,0.01544004117344313,1.0,0.0
pattern_c47,0.4750386001029336,1.0,0.0
pubchem_f302,0.03962943901183737,1.0,0.0
maccs_k071,0.03962943901183737,1.0,0.0
maccs_k109,0.3262995367987648,1.0,0.0
pubchem_f700,0.3458569222851261,1.0,0.0
ester_deriv,0.1559444158517756,1.0,0.0
oxacycle,0.3185795162120432,1.0,0.0
maccs_k057,0.3185795162120432,1.0,0.0
maccs_k150,0.7900154400411734,1.0,0.0
pubchem_f334,0.7359752959341225,1.0,0.0
pattern_c12,0.7359752959341225,1.0,0.0
maccs_k138,0.5234173957797221,1.0,0.0
maccs_k070,0.03242408646423057,1.0,0.0
pattern_c113,0.10962429233144622,1.0,0.0
pubchem_f186,0.5265054040144107,1.0,0.0
pubchem_f697,0.6417910447761194,1.0,0.0
maccs_k149,0.5728255275347401,1.0,0.0
carboxylic ester,0.10705095213587236,1.0,0.0
pubchem_f538,0.11837364899639732,1.0,0.0
pubchem_f463,0.11837364899639732,1.0,0.0
steroid,0.07308286155429748,1.0,0.0
nAcid,0.41327843540916115,14.0,0.0
pubchem_f611,0.12815234173957799,1.0,0.0
maccs_322_031,0.012866700977869275,1.0,0.0
pubchem_f368,0.1276376737004632,1.0,0.0
poly_sugar_1,0.06999485331960885,1.0,0.0
poly_sugar_2,0.06793618116314977,1.0,0.0
pattern_c10,0.14204837879567678,1.0,0.0
acetal,0.12197632527020072,1.0,0.0
pubchem_f709,0.7025218733916624,1.0,0.0
pattern_c11,0.7025218733916624,1.0,0.0
maccs_322_050,0.19042717447246527,1.0,0.0
tertiary alcohol,0.06484817292846114,1.0,0.0
